HSBC,CLP,CK
89.75,27.5,104.5
89,27.333,100
89.25,28.667,103.5
89.25,27.25,101
88,27.833,101.5
87.25,27.417,102
86.75,27,107.5
85.5,27.833,110
88,28.5,110
87.75,28.917,106.5
87.75,28.083,110
85.25,27.25,107
85,26.917,103
85.25,28.083,104
86,28.833,100.5
90,29.417,106
88.5,28.333,104.5
87.5,28.083,108
89.5,28.167,112
89.75,28.75,116
92,29.5,114
94.5,29.167,116
93,29,119
92,29.333,119
91.25,28.917,117
91,29.083,116.5
87.5,28.833,110.5
87.5,28.833,110.5
88.5,29.167,104
87.5,29.417,106
87.25,29,107
86.5,28.667,107.5
87.25,28.75,105
87.5,29.167,103.5
87,28.583,101
87,29.25,99
85.5,28.5,88.5
86.5,28.583,90
88,28.917,88.25
87.75,28.833,87.25
87.75,28.833,87.25
87.75,28.833,87.25
88,29.083,86.5
88,28.75,85.5
87.25,28.917,88.5
87,29.083,93
87,29.083,93
86.5,28.583,92.75
86.25,28.917,92
86,29,87.25
85.75,29.417,85.5
84.25,29.417,83.25
84.5,29.5,80.5
84,29.417,79.25
84,29.417,79.25
85.25,30,82.75
85.25,29.75,81.75
85.5,30.833,83.5
85,30,79.75
83.25,28.75,72.75
83.75,30,73.25
83.25,30.833,73.75
83.75,31.167,73.75
82.75,31,72.5
83,30.583,72.5
83.25,31.333,70.5
84,30.833,70.25
84.75,30.25,70
86,30.167,71.25
86.75,30.417,74.75
87,30.25,77.5
89.5,30,78.5
89.5,30,78.5
92.25,30,77.75
91.25,30.5,78
91.25,30.833,80.75
91.5,31.083,80.75
91.25,30.667,79.25
92.75,30.833,82.25
93.5,30.917,84
93.25,30.917,87.25
91.5,30.917,87.5
90.75,30.917,85.75
90.25,30.667,86.75
88.5,29.75,85.75
86.5,30,84.25
87.25,30.25,86.25
87.25,30.5,86.75
87.5,30.417,87.25
87.25,30,85.25
89,30.25,86.25
88.75,30.583,87.25
89.25,30.083,88.75
90.25,29.917,90.75
89.25,29.583,91
89.5,29.083,91.5
90.5,29.083,93.25
93.75,28.833,93.5
96.5,28.917,95.5
97.5,29,93
96.75,29.083,96.25
98.5,29.083,96.75
96.5,28.833,94.5
98,28.833,96.25
98.5,29,99
100,28.75,101.5
101,28.75,100.5
102,28.667,96.75
105,28.917,97
105,29.667,94.5
103.5,29.583,93.75
102.5,29.333,92
102.5,29.167,91.75
105,29.583,93.75
104,29.5,94.25
105.5,29.5,95.75
108,29.333,97.25
106.5,29.083,96.25
107,29.083,95.75
108,29.5,96
109,29.5,95.75
107,29.417,95.25
109.5,29.25,97.75
110,29.333,101
109,29.25,102.5
108.5,29.167,100
110,29.167,100
113.5,29,102
113,29.083,102
115,29.75,102.5
113,29.583,101
108.5,29.667,98.75
111,29.833,99.25
110,30,100.5
111,29.167,101.5
113.5,29.333,103.5
116,29.667,105.5
113.5,29.583,104
114.5,29.833,103.5
114.5,29.917,102
113.5,30.25,101
113.5,30.25,99.5
111,30.25,96.75
111,30.25,96.75
110.5,30.417,97.25
111,30.5,95.5
106,30.417,91.75
105,30.75,94.5
106,29.917,93
105.5,29.333,91
103,29.25,89.25
108,29.083,92.25
108.5,28.417,91.25
109.5,28.167,92.25
108.5,28.25,93
109,29.167,94.25
109,29.167,94.25
112,29.083,92.75
111,28.917,94.25
111.5,28.583,95.75
111.5,28.583,95.75
109.5,28.667,93
109,28.417,91.75
104.5,28.667,91
104.5,29.083,91
102.5,29.25,89.25
106,30.25,89.5
108.5,29.833,89.5
107,30.167,86.25
105,29.833,86.75
107.5,29.667,89.75
110.5,29.083,89.25
110.5,29.75,88.5
111,29.583,87.75
108,29.917,86.75
107.5,30.167,85
107,30.083,85.5
108.5,30.333,86.25
113,30.167,90.5
113,29.5,92
116.5,29.5,93.25
116,29.75,92.25
116.5,29.75,94
115.5,29.833,93
115,30.083,91.5
115,30.25,90.75
111,29.667,88.75
113.5,30,91
112.5,29.75,90.5
114,29.833,91
113.5,29.833,90.75
114.5,30,91.75
113.5,29.667,91.75
111,30,90.25
107.5,30.25,89.25
107,30.333,89.5
109,30.417,90.5
110,30.583,91
107.5,30.25,90
104.5,30.333,87.75
106.5,30.25,88.5
107,30.583,88.25
109.5,30.75,90.25
113.5,30.5,96.5
114,30.667,97.75
114.5,31.167,98.75
115.5,31.333,98.5
116,31.417,99.75
117.5,31.833,101.5
116.5,31.333,102.5
111.5,30.583,98.75
110.5,30.833,99.75
114,30.5,101
112.5,31.333,100.5
111,31.917,99.5
112,32,99
112,32,99
112,32,99
111.5,31.667,97.75
113,32,98.75
115.5,32.417,99.75
115.5,32.417,99.75
113,31.75,99.5
112,32.167,98.25
116,31,104
118.5,31.25,104
117.5,31.25,103.5
119,31.917,103
116.5,31.667,103
115,30.917,99
115,30.75,101.5
113.5,30.333,101.5
114,30.333,103
113.5,30.083,103
115.5,30,104.5
116,30,105
117,30.167,104.5
118.5,30.417,102.5
118.5,30.417,102.5
118.5,30.417,102.5
118.5,30.417,102.5
121,29.667,102.5
120.5,30,100.5
121.5,30.333,103.5
120,31.167,103.5
119.5,31.5,102
119,31.667,102
120.5,31.833,102
121,32.25,102.5
120.5,32.333,101.5
120,32.333,100
119,31.75,98.25
120,31.75,99
120.5,31.833,99.5
120.5,32.083,98
120,31.75,97.5
118.5,32.333,98
118.5,32.25,97.75
117.5,32.083,97.75
115.5,32.333,95.25
117,32.833,94
116.5,33.417,94.5
107.5,33.5,92.75
105,34.083,94.5
104,33.667,92
103.5,33.833,88.25
102.5,34.167,89
102.5,34.25,92.75
102.5,33.5,92.5
103.5,33.167,92.75
104.5,33.333,92
102.5,32.667,89
99,33.25,88
96,33.25,87.25
95,33.667,90
95.5,32.833,88.75
92.75,34,89.5
92.75,33.75,87
93.25,34.167,86.25
90.75,33.833,82.25
89.5,33.917,80.5
91.25,34,81.75
90.5,33.833,78.75
92,34,79.5
90.75,34,80
92,34.417,81.75
92.5,34.583,82.25
92,34.75,82.5
89.75,34.25,80.5
89.75,34.25,80.5
91.5,34.833,80
91.75,33.9,77.75
91.5,33.8,76.25
94,33.3,79
95.25,33.3,81.5
95.25,33.3,81.5
95.25,33.3,81.5
92.75,33.2,80.75
94,32.9,82.5
98.5,31.4,87.5
99.25,32.2,86
97,32.9,87
98.25,32.9,87
97.75,32.8,86.25
97.75,32.3,86.25
99,32.7,87
99,32.7,87
99,32.7,87
101,32.8,89.25
97,32.4,89.5
95.5,32.1,88.5
98.25,32.1,91.5
97.25,32.1,90.75
97.75,32.8,91.25
97.5,32.2,92.75
99,32.4,93.25
96.75,32.5,90.75
